0,"Behavior strategy input. Raw catalog and orders table output. Stock simulation options override. Temp data processing, cleaning. Analysis support defining, integrity checks. Data quality evaluation logging. Optimization of warehouse dispatch. Long-term stock simulation. Sales analysis tool configuration. Focus group definition. Read tables preparation."
1,Read files from specified path matching itemName pattern into Catalog. Define columns and their types.
2,"Reads a file named ""Items.ion"" from ""testStorage/Clean/"". Maps columns to respective data types: Sku as Id, Supplier, Category, SubCategory, SellPrice, StockOnHand, IsActive, ReorderCycle, LeadTime, ReDispatchCycle, DispatchLT, IsBimodalDemand, ExtremeBimodalDemandFrequence, ExtremeBimodalDemandFactor, IsRightSkewedDemand, ExtremeRightSkewedDemandFrequence, ExtremeRightSkewedDemandFactor, IsTopItem, EndDate."
3,"Read files from /Input/Catalog/Catalog*, treat content as Items, map Sku to Id, extract Ref, Name, Loc, Supplier, Category, InternalStockAggressiveness, IsTopItem, StartDate, EndDate."
4,"Reads ""/Clean/Items.ion"" file into Items array with specified fields and data types"
5,"Reads items from file, assigns columns to variables"
6,"Reads data from ""\{inputFolder}Items.ion"" into Items array with specified fields and types"
7,reads form with group by month option and line horizon value
8,"Reads data from ""/Clean/Items.ion"" file into Items table with specified column definitions and data types."
9,"Reads ""/Clean/Items.ion"" file into Items array; Id is unsafe, Sku, Loc (as Id), Ref, and Name are text fields"
10,"Reads files from ""/Input/Orders/Orders*"" without safety checks. Maps columns to variables. Id is Sku, Ref, Loc, OrderDate, DayQty, NetAmount, Currency, OrderId. OrderDate and DayQty are treated as date and number respectively."
11,"Reads file ""\{inputFolder}Orders.ion"", expects columns Id, date with aliases Sku, OrderDate, Quantity, NetAmount, IsClean"
12,"Reads inputFolderOrders.ion file expecting columns Id, date, Sku, OrderDate, Quantity, NetAmount, IsClean with specified mappings and types"
13,"Reads ""/Clean/Items.ion"" file; expects Id field; defines fields and their types"
14,"Reads data from ""/Clean/Items.ion"" and assigns columns to variables without safe Id handling, naming them accordingly"
15,"Read files from specified path and category, parse into Categories with subcategory, periods, bucket size, dispersion, linear growth, and seasonality pattern."
16,"Reads data from file ""Orders.ion"" in testStorage/Clean directory. Maps columns: Sku to Id (text), OrderDate to date, Ref, Loc, RawQuantity to Quantity, LokadNetAmount,OrderId,IsFirstOrder,HealthLog,IsClean (all with their respective types)."
